ticker,statement,status,n_years,n_line_items,download_date
ABBOTINDIA.NS,balance_sheet,OK,4,71,2026-09-25
ABBOTINDIA.NS,income_statement,OK,4,50,2026-09-25
ABBOTINDIA.NS,cash_flow,OK,5,34,2026-09-25
AJANTPHARM.NS,balance_sheet,OK,5,87,2026-09-25
AJANTPHARM.NS,income_statement,OK,5,52,2026-09-25
AJANTPHARM.NS,cash_flow,OK,5,48,2026-09-25
ALKEM.NS,balance_sheet,OK,5,84,2026-09-25
ALKEM.NS,income_statement,OK,5,53,2026-09-25
ALKEM.NS,cash_flow,OK,5,51,2026-09-25
AUROPHARMA.NS,balance_sheet,OK,5,91,2026-09-25
AUROPHARMA.NS,income_statement,OK,5,55,2026-09-25
AUROPHARMA.NS,cash_flow,OK,5,56,2026-09-25
BIOCON.NS,balance_sheet,OK,5,88,2026-09-25
BIOCON.NS,income_statement,OK,4,53,2026-09-25
BIOCON.NS,cash_flow,OK,5,58,2026-09-25
CIPLA.NS,balance_sheet,OK,5,87,2026-09-25
CIPLA.NS,income_statement,OK,4,54,2026-09-25
CIPLA.NS,cash_flow,OK,5,56,2026-09-25
DIVISLAB.NS,balance_sheet,OK,5,79,2026-09-25
DIVISLAB.NS,income_statement,OK,4,52,2026-09-25
DIVISLAB.NS,cash_flow,OK,5,35,2026-09-25
DRREDDY.NS,balance_sheet,OK,5,94,2026-09-25
DRREDDY.NS,income_statement,OK,5,54,2026-09-25
DRREDDY.NS,cash_flow,OK,5,68,2026-09-25
GLAND.NS,balance_sheet,OK,5,77,2026-09-25
GLAND.NS,income_statement,OK,4,53,2026-09-25
GLAND.NS,cash_flow,OK,5,47,2026-09-25
GLENMARK.NS,balance_sheet,OK,5,79,2026-09-25
GLENMARK.NS,income_statement,OK,5,54,2026-09-25
GLENMARK.NS,cash_flow,OK,5,51,2026-09-25
IPCALAB.NS,balance_sheet,OK,5,88,2026-09-25
IPCALAB.NS,income_statement,OK,5,55,2026-09-25
IPCALAB.NS,cash_flow,OK,5,51,2026-09-25
LAURUSLABS.NS,balance_sheet,OK,5,83,2026-09-25
LAURUSLABS.NS,income_statement,OK,5,53,2026-09-25
LAURUSLABS.NS,cash_flow,OK,5,47,2026-09-25
LUPIN.NS,balance_sheet,OK,5,86,2026-09-25
LUPIN.NS,income_statement,OK,4,53,2026-09-25
LUPIN.NS,cash_flow,OK,5,53,2026-09-25
MANKIND.NS,balance_sheet,OK,5,83,2026-09-25
MANKIND.NS,income_statement,OK,4,54,2026-09-25
MANKIND.NS,cash_flow,OK,5,60,2026-09-25
PPLPHARMA.NS,balance_sheet,OK,5,87,2026-09-25
PPLPHARMA.NS,income_statement,OK,5,54,2026-09-25
PPLPHARMA.NS,cash_flow,OK,5,55,2026-09-25
SAILIFE.NS,balance_sheet,OK,5,80,2026-09-25
SAILIFE.NS,income_statement,OK,4,52,2026-09-25
SAILIFE.NS,cash_flow,OK,5,47,2026-09-25
SUNPHARMA.NS,balance_sheet,OK,5,90,2026-09-25
SUNPHARMA.NS,income_statement,OK,4,53,2026-09-25
SUNPHARMA.NS,cash_flow,OK,4,50,2026-09-25
TORNTPHARM.NS,balance_sheet,OK,5,83,2026-09-25
TORNTPHARM.NS,income_statement,OK,4,52,2026-09-25
TORNTPHARM.NS,cash_flow,OK,5,45,2026-09-25
WOCKPHARMA.NS,balance_sheet,OK,5,80,2026-09-25
WOCKPHARMA.NS,income_statement,OK,5,54,2026-09-25
WOCKPHARMA.NS,cash_flow,OK,5,58,2026-09-25
ZYDUSLIFE.NS,balance_sheet,OK,5,89,2026-09-25
ZYDUSLIFE.NS,income_statement,OK,5,56,2026-09-25
ZYDUSLIFE.NS,cash_flow,OK,5,55,2026-09-25
